ATM ID,Site,ENV,Zone,vCPU,RAM GB,DB Type,Storage GB,Raw JSON,AWS Instance Type,AWS Hourly Cost,AWS Monthly Cost
AA00001527,ASX1,DEV,OZ,8,48,MSSQL,3500,"{'Instance Type': 'r5a.2xlarge', 'vCPU': '8', 'Memory': '61 GiB', 'PricePerUnit': '0.466'}",r5a.2xlarge,0.466,340.18
AA00003081,ASX1,PRD,CPZ,16,96,MSSQL,9000,None,None,None,None
