ATM ID,Site,ENV,Zone,vCPU,RAM GB,DB Type,Storage GB,Raw JSON,AWS Instance Type,AWS Hourly Cost,AWS Monthly Cost
AA00001527,ASX1,DEV,OZ,8,48,MSSQL,3500,"{'Instance Type': 'u7i-16tb.224xlarge', 'vCPU': '896', 'Memory': '16384 GiB', 'PricePerUnit': '203.84'}",u7i-16tb.224xlarge,203.84,148803.2
AA00003081,ASX1,PRD,CPZ,16,96,MSSQL,9000,"{'Instance Type': 'u7in-16tb.192xlarge', 'vCPU': '16', 'Memory': '96 GiB', 'PricePerUnit': '305.885'}",u7in-16tb.192xlarge,305.885,223296.05
