ATM ID,Site,ENV,Zone,vCPU,RAM GB,DB Type,Storage GB,Raw JSON,AWS Instance Type,AWS Hourly Cost,AWS Monthly Cost
AA00001527,ASX1,DEV,OZ,8,48,MSSQL,3500,None,None,None,None
AA00003081,ASX1,PRD,CPZ,16,96,MSSQL,9000,"{'Instance Type': 'r5n.large', 'vCPU': '1', 'Memory': '8 GiB', 'PricePerUnit': '0.34'}",r5n.large,0.34,248.20000000000002
