ATM ID,Site,ENV,Zone,vCPU,RAM GB,DB Type,Storage GB,Raw JSON,AWS Instance Type,AWS Hourly Cost,AWS Monthly Cost
AA00001527,ASX1,DEV,OZ,8,48,MSSQL,3500,"{'Instance Type': 'r5d.large', 'vCPU': '2', 'Memory': '38.4', 'PricePerUnit': '0.129'}",r5d.large,0.129,94.17
AA00003081,ASX1,PRD,CPZ,16,96,MSSQL,9000,"{'Instance Type': 'r5n.large', 'vCPU': '16', 'Memory': '97 GiB', 'PricePerUnit': '0.023'}",r5n.large,0.023,16.79
