ATM ID,Site,ENV,Zone,vCPU,RAM GB,DB Type,Storage GB,Raw JSON,AWS Instance Type,AWS Hourly Cost,AWS Monthly Cost
AA00001527,ASX1,DEV,OZ,8,48,MSSQL,3500,"{'Instance Type': 'r7g.2xlarge', 'vCPU': '8', 'Memory': '64', 'PricePerUnit': '0.5583'}",r7g.2xlarge,0.5583,407.559
AA00003081,ASX1,PRD,CPZ,16,96,MSSQL,9000,"{'Instance Type': 'r6i.4xlarge', 'vCPU': '16', 'Memory': '96 GiB', 'PricePerUnit': '1.008'}",r6i.4xlarge,1.008,735.84
