ATM ID,Site,ENV,Zone,vCPU,RAM GB,DB Type,Raw JSON,AWS Instance Type,AWS Hourly Cost,AWS Monthly Cost
AA00001527,ASX1,DEV,OZ,8,48,MSSQL,"{'Instance Type': 'i4i.4xlarge', 'vCPU': '16', 'Memory': '128 GiB', 'PricePerUnit': '1.77'}",i4i.4xlarge,1.77,1292.1
AA00003081,ASX1,PRD,CPZ,16,96,MSSQL,"{'Instance Type': 'r5n.12xlarge', 'vCPU': '16', 'Memory': '96 GiB', 'PricePerUnit': '1.2200000000'}",r5n.12xlarge,1.2200000000,890.6
